Quest Title,URL
Hiring Quest – Core Software Engineer (Fullstack + AI) @ FinTech Company,https://code-quests.com/quests/?page_id=280&id=79
Hiring Quest – Junior Admin / Operations Coordinator @ CodeQuests,https://code-quests.com/quests/?page_id=280&id=78
Hiring Quest – Java Tech Lead @ ExeQut,https://code-quests.com/quests/?page_id=280&id=77
Hiring Quest – Senior Full-Stack Laravel Engineer @ Career 180,https://code-quests.com/quests/?page_id=280&id=76
Hiring Quest – Full Stack Laravel Engineer @ Career 180,https://code-quests.com/quests/?page_id=280&id=75
Hiring Quest – Senior Backend Engineer (.NET) @ MoneyFellows,https://code-quests.com/quests/?page_id=280&id=74
Hiring Quest – Application Security Engineer @ Tactful.ai,https://code-quests.com/quests/?page_id=280&id=73
Hiring Quest – Senior Frontend Engineer @ Tactful.ai,https://code-quests.com/quests/?page_id=280&id=72
Hiring Quest – Junior Admin / Operations Coordinator @ CodeQuests,https://code-quests.com/quests/?page_id=280&id=70
Hiring Quest – Mid-Level Frontend Developer Angular @ Expanders360,https://code-quests.com/quests/?page_id=280&id=69
Hiring Quest – Fullstack Engineer (Python + React) @ Nixai Labs,https://code-quests.com/quests/?page_id=280&id=68
Hiring Quest – Junior DevOps Engineer @ Tactful.ai,https://code-quests.com/quests/?page_id=280&id=67
Hiring Quest – .NET Engineer (3 YOE) @ ElectroPi,https://code-quests.com/quests/?page_id=280&id=66
Hiring Quest – Senior Full Stack Engineer @ CloudComTogether,https://code-quests.com/quests/?page_id=280&id=65
Hiring Quest – Full Stack Engineer @ V.Connct,https://code-quests.com/quests/?page_id=280&id=64
Hiring Quest – Full Stack Laravel Engineer @ Career 180,https://code-quests.com/quests/?page_id=280&id=63
Hiring Quest – Senior Full Stack Engineer @ CloudComTogether,https://code-quests.com/quests/?page_id=280&id=62
Hiring Quest – Senior DevOps Engineer @ 4Sale International,https://code-quests.com/quests/?page_id=280&id=61
Hiring Quest – Frontend Developer @ BOD,https://code-quests.com/quests/?page_id=280&id=60
Hiring Quest – Backend Developer @ Expanders360,https://code-quests.com/quests/?page_id=280&id=59
Hiring Quest – Quality Control Engineer @ Blu EV,https://code-quests.com/quests/?page_id=280&id=57
Hiring Quest – Junior Backend Developer @ Farapi,https://code-quests.com/quests/?page_id=280&id=56
Hiring Quest – Full Stack Engineer @ Eshtarek,https://code-quests.com/quests/?page_id=280&id=55
Hiring Quest – AI Engineer @ 180degree,https://code-quests.com/quests/?page_id=280&id=54
UX/UI Redesign Code Quests Platform,https://code-quests.com/quests/?page_id=280&id=53
Hiring Quest – Frappe Developer @ Homains,https://code-quests.com/quests/?page_id=280&id=52
Hiring Quest – Backend Developer – Mid-Level @ 4Sale,https://code-quests.com/quests/?page_id=280&id=51
Hiring Quest – UI/UX Designer@ INVIA,https://code-quests.com/quests/?page_id=280&id=50
Hiring Quest –  Product Designer (UI/UX) – SaaS B2C @ Andalusi,https://code-quests.com/quests/?page_id=280&id=49
Hiring Quest – Chatbot Designer @ Tactful.ai,https://code-quests.com/quests/?page_id=280&id=48
Hiring Quest – Odoo Developer @ KODE,https://code-quests.com/quests/?page_id=280&id=47
Hiring Quest – Mid-Level Backend Engineer @ Miran,https://code-quests.com/quests/?page_id=280&id=46
UX/UI — Tadweera LMS Quest,https://code-quests.com/quests/?page_id=280&id=45
Hiring Quest – Full Stack Developer (.NET & Angular) @ Clubber TV,https://code-quests.com/quests/?page_id=280&id=44
Hiring Quest – AI/ML Engineer @ ContactCars,https://code-quests.com/quests/?page_id=280&id=43
Hiring Quest – Backend Laravel Developer @ Quarizm Tech,https://code-quests.com/quests/?page_id=280&id=42
Hiring Quest – Mid-Level Flutter Developer @ Quarizm Tech,https://code-quests.com/quests/?page_id=280&id=41
Hiring Quest – No-Code/Low-Code Developer,https://code-quests.com/quests/?page_id=280&id=40
Code-Quests Platform Ramadan Theme Challenge,https://code-quests.com/quests/?page_id=280&id=39
Enhancing Context Prompts for AI Coding Agent (س18),https://code-quests.com/quests/?page_id=280&id=38
Manual Testing quest : Uncover Bugs and Improve the Code Quest Platform!,https://code-quests.com/quests/?page_id=280&id=37
The AI Agents Quest,https://code-quests.com/quests/?page_id=280&id=36
Republish Enhancements to User Registration and Quests View,https://code-quests.com/quests/?page_id=280&id=35
APIs For User Badges and Pointing System,https://code-quests.com/quests/?page_id=280&id=34
Enhancements to User Registration and Quests View,https://code-quests.com/quests/?page_id=280&id=33
UX/UI for center scheduling system,https://code-quests.com/quests/?page_id=280&id=32
The State of Egyptian Open Source - Analysis Notebook,https://code-quests.com/quests/?page_id=280&id=31
Redesign UI of ClassPill Dashboard,https://code-quests.com/quests/?page_id=280&id=30
Manual Testing Quest,https://code-quests.com/quests/?page_id=280&id=29
Pharaohs Escape Room Design And Art,https://code-quests.com/quests/?page_id=280&id=28
